"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"каркасные дома под ключ","2026-03-16 - 2026-06-14","254610.00","20221.00","7.94","4.98","5.16","4373.00","1668.00","38.14","69440.00","3220.00","4.64","2.90","2.22","174741.00","14510.00","8.30","5.67","5.92","6056.00","823.00","13.59","12.07","11.77"
"каркасные дома","2026-03-16 - 2026-06-14","82295.00","21302.00","25.88","4.90","4.88","4075.00","1306.00","32.05","27557.00","4423.00","16.05","2.30","2.31","44993.00","14561.00","32.36","5.78","5.53","5670.00","1012.00","17.85","13.43","11.90"
"каркасный дом под ключ","2026-03-16 - 2026-06-14","78610.00","8760.00","11.14","6.10","3.05","8091.00","2613.00","32.30","15114.00","3274.00","21.66","2.34","2.10","44618.00","2619.00","5.87","6.76","5.40","10787.00","254.00","2.35","12.49","12.03"
"строительство каркасных домов","2026-03-16 - 2026-06-14","72650.00","10172.00","14.00","4.51","4.82","6232.00","1212.00","19.45","24553.00","1876.00","7.64","2.75","2.28","39606.00","6796.00","17.16","5.72","5.91","2259.00","288.00","12.75","12.21","11.82"
"каркасный дом","2026-03-16 - 2026-06-14","48439.00","6728.00","13.89","6.18","4.24","1678.00","1126.00","67.10","12367.00","2350.00","19.00","2.05","2.08","27514.00","2826.00","10.27","6.56","6.17","6880.00","426.00","6.19","13.37","11.99"
"купить каркасный дом","2026-03-16 - 2026-06-14","38514.00","12384.00","32.15","5.24","4.25","4031.00","2386.00","59.19","9328.00","4149.00","44.48","2.49","2.45","22900.00","4896.00","21.38","6.36","5.88","2255.00","953.00","42.26","12.89","11.85"
"каркасный дом под ключ цена московская область","2026-03-16 - 2026-06-14","35024.00","1402.00","4.00","5.70","6.09","67.00","25.00","37.31","7901.00","212.00","2.68","2.61","2.37","25304.00","1021.00","4.03","6.24","6.17","1752.00","144.00","8.22","11.95","11.87"
"строительство каркасных домов под ключ","2026-03-16 - 2026-06-14","31293.00","10709.00","34.22","4.19","2.50","8956.00","4421.00","49.36","9378.00","3399.00","36.24","2.29","2.11","11210.00","2827.00","25.22","5.95","5.12","1749.00","62.00","3.54","19.42","11.79"
"каркасный дом под ключ цена","2026-03-16 - 2026-06-14","27050.00","11902.00","44.00","2.61","2.08","10696.00","6522.00","60.98","9794.00","3296.00","33.65","2.22","2.17","6227.00","2005.00","32.20","5.45","5.08","333.00","79.00","23.72","12.71","11.68"
"купить каркасный дом под ключ","2026-03-16 - 2026-06-14","26094.00","11553.00","44.27","2.45","1.98","12093.00","6281.00","51.94","8270.00","3615.00","43.71","2.16","2.10","5440.00","1581.00","29.06","5.60","5.11","291.00","76.00","26.12","12.23","11.89"
"каркасные дома недорого","2026-03-16 - 2026-06-14","21450.00","11068.00","51.60","3.10","2.90","5256.00","3380.00","64.31","8528.00","3978.00","46.65","2.30","2.17","7402.00","3567.00","48.19","5.19","5.14","264.00","143.00","54.17","12.13","11.97"
"каркасный дом под ключ москва","2026-03-16 - 2026-06-14","20719.00","12614.00","60.88","1.99","1.71","11103.00","7152.00","64.42","6600.00","4288.00","64.97","2.11","2.09","2890.00","1161.00","40.17","5.07","4.54","126.00","13.00","10.32","11.94","11.62"
"каркасные дома москва","2026-03-16 - 2026-06-14","20916.00","9599.00","45.89","3.01","2.93","5394.00","2596.00","48.13","8993.00","3573.00","39.73","2.21","2.18","6154.00","3354.00","54.50","5.38","5.01","375.00","76.00","20.27","12.35","11.93"
"каркасные дома под ключ недорого","2026-03-16 - 2026-06-14","19653.00","10144.00","51.62","2.47","2.27","8262.00","4996.00","60.47","7251.00","3159.00","43.57","2.28","2.15","3925.00","1888.00","48.10","5.37","5.30","215.00","101.00","46.98","12.45","11.94"
"каркасный дом цена","2026-03-16 - 2026-06-14","18774.00","11224.00","59.78","1.98","1.60","10962.00","7360.00","67.14","5259.00","3040.00","57.81","2.14","2.11","2366.00","799.00","33.77","5.28","4.86","187.00","25.00","13.37","13.23","12.08"
"строительство домов под ключ","2026-03-16 - 2026-06-14","11967.00","23.00","0.19","10.72","12.39","2.00","0.00","0.00","57.00","1.00","1.75","2.67","2.00","5168.00","9.00","0.17","8.26","7.67","6740.00","13.00","0.19","12.68","16.46"
"каркасный дом цена под ключ московская область","2026-03-16 - 2026-06-14","15689.00","2.00","0.01","5.12","4.00","49.00","0.00","0.00","4378.00","1.00","0.02","2.65","3.00","10627.00","1.00","0.01","5.74","5.00","635.00","0.00","0.00","11.97",""
"стоимость каркасного дома","2026-03-16 - 2026-06-14","14544.00","9237.00","63.51","2.41","1.76","6884.00","5690.00","82.66","4639.00","2532.00","54.58","2.19","2.13","2820.00","986.00","34.96","5.36","4.93","201.00","29.00","14.43","14.31","11.86"
"каркасные дома под ключ проекты и цены","2026-03-16 - 2026-06-14","13445.00","1751.00","13.02","4.54","4.93","800.00","232.00","29.00","4647.00","274.00","5.90","2.82","2.50","7485.00","1162.00","15.52","5.45","5.79","513.00","83.00","16.18","12.45","11.86"
"одноэтажные каркасные дома под ключ","2026-03-16 - 2026-06-14","13898.00","579.00","4.17","4.00","4.92","276.00","13.00","4.71","6408.00","142.00","2.22","2.80","2.68","7076.00","406.00","5.74","5.03","5.54","138.00","18.00","13.04","12.43","11.44"
"каркасный дом под ключ недорого","2026-03-16 - 2026-06-14","12686.00","9878.00","77.87","1.87","1.53","8259.00","7254.00","87.83","2922.00","1998.00","68.38","2.12","2.11","1359.00","587.00","43.19","5.53","5.44","146.00","39.00","26.71","12.29","11.64"
"строительство каркасных домов под ключ москва","2026-03-16 - 2026-06-14","11786.00","9843.00","83.51","1.55","1.45","7842.00","6782.00","86.48","3167.00","2571.00","81.18","2.05","2.05","753.00","482.00","64.01","4.86","4.48","24.00","8.00","33.33","11.67","11.38"
"каркасные дома moskva.sdbgp","2026-03-16 - 2026-06-14","11837.00","0.00","0.00","7.15","","0.00","0.00","","1937.00","0.00","0.00","2.61","","6917.00","0.00","0.00","6.36","","2983.00","0.00","0.00","11.95",""
"строительство каркасных домов ключ в москве","2026-03-16 - 2026-06-14","11445.00","10042.00","87.74","1.47","1.36","7827.00","7279.00","93.00","3021.00","2427.00","80.34","2.05","2.03","593.00","336.00","56.66","4.67","4.39","4.00","0.00","0.00","12.00",""
"каркасные дома под ключ московская область","2026-03-16 - 2026-06-14","9616.00","60.00","0.62","9.37","7.83","28.00","19.00","67.86","336.00","2.00","0.60","2.66","2.50","5820.00","13.00","0.22","8.09","8.54","3432.00","26.00","0.76","12.27","12.88"
"каркасные дома sdbgp.ru","2026-03-16 - 2026-06-14","9987.00","0.00","0.00","7.19","","0.00","0.00","","110.00","0.00","0.00","2.98","","8341.00","0.00","0.00","6.47","","1536.00","0.00","0.00","11.41",""
"каркасные дома под ключ sdbgp.ru","2026-03-16 - 2026-06-14","9063.00","0.00","0.00","8.67","","0.00","0.00","","1.00","0.00","0.00","3.00","","7370.00","0.00","0.00","8.13","","1692.00","0.00","0.00","11.03",""
"построить каркасный дом под ключ","2026-03-16 - 2026-06-14","7787.00","238.00","3.06","7.03","8.19","15.00","0.00","0.00","637.00","8.00","1.26","2.78","2.13","6192.00","172.00","2.78","6.70","7.24","943.00","58.00","6.15","12.17","11.84"
"проекты каркасных домов","2026-03-16 - 2026-06-14","7771.00","3266.00","42.03","2.75","1.57","3453.00","2270.00","65.74","2687.00","794.00","29.55","2.15","2.12","1315.00","188.00","14.30","5.51","5.28","316.00","14.00","4.43","15.56","12.07"
"каркасные дома теплый угол","2026-03-16 - 2026-06-14","7092.00","2863.00","40.37","1.98","1.12","3214.00","2604.00","81.02","2997.00","234.00","7.81","2.30","2.06","873.00","25.00","2.86","4.40","4.40","8.00","0.00","0.00","11.00",""
"дом каркасный","2026-03-16 - 2026-06-14","6588.00","6.00","0.09","8.75","8.67","74.00","0.00","0.00","518.00","1.00","0.19","2.15","2.00","3786.00","3.00","0.08","6.49","8.67","2210.00","2.00","0.09","14.44","12.00"
"строительство домов","2026-03-16 - 2026-06-14","5140.00","20.00","0.39","12.24","14.40","2.00","1.00","50.00","31.00","0.00","0.00","2.74","","1822.00","7.00","0.38","8.23","7.71","3285.00","12.00","0.37","14.56","19.42"
"каркасные дома под ключ теплый угол","2026-03-16 - 2026-06-14","6593.00","2218.00","33.64","2.22","1.23","2494.00","1941.00","77.83","2830.00","197.00","6.96","2.32","2.24","1262.00","80.00","6.34","4.37","4.41","7.00","0.00","0.00","11.29",""
"дом под ключ","2026-03-16 - 2026-06-14","4598.00","29.00","0.63","12.03","9.24","2.00","0.00","0.00","46.00","3.00","6.52","2.43","2.33","1842.00","12.00","0.65","8.11","7.17","2708.00","14.00","0.52","14.87","12.50"
"каркасные дома под ключ москва","2026-03-16 - 2026-06-14","5827.00","4.00","0.07","8.01","5.75","4.00","1.00","25.00","122.00","1.00","0.82","2.90","2.00","4796.00","1.00","0.02","7.40","9.00","905.00","1.00","0.11","11.97","11.00"
"каркасные дома под ключ цена","2026-03-16 - 2026-06-14","5180.00","34.00","0.66","6.96","4.71","2.00","1.00","50.00","576.00","13.00","2.26","2.62","2.23","4072.00","20.00","0.49","6.96","6.50","530.00","0.00","0.00","11.68",""
"каркасные дома проекты и цены","2026-03-16 - 2026-06-14","5009.00","461.00","9.20","5.81","6.03","84.00","18.00","21.43","913.00","60.00","6.57","2.75","2.62","3759.00","356.00","9.47","6.07","6.42","253.00","27.00","10.67","14.59","11.78"
"каркасный дома под ключ","2026-03-16 - 2026-06-14","4417.00","1.00","0.02","5.56","2.00","684.00","0.00","0.00","795.00","1.00","0.13","2.38","2.00","2391.00","0.00","0.00","6.17","","547.00","0.00","0.00","13.23",""
"купить каркасный дом в москве","2026-03-16 - 2026-06-14","4812.00","285.00","5.92","5.16","4.58","434.00","41.00","9.45","1548.00","94.00","6.07","2.38","2.43","2351.00","125.00","5.32","6.22","5.92","479.00","25.00","5.22","12.73","11.84"
"каркасные дома под ключ проекты","2026-03-16 - 2026-06-14","4785.00","361.00","7.54","5.21","5.57","123.00","21.00","17.07","1385.00","62.00","4.48","2.79","2.55","3049.00","246.00","8.07","5.92","5.91","228.00","32.00","14.04","12.67","11.78"
