"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/catalog/karkasnye-doma/","2026-03-16 - 2026-06-14","390397.00","39324.00","10.07","6.12","3.40","29149.00","15897.00","54.54","75434.00","7239.00","9.60","2.37","2.21","239066.00","15165.00","6.34","6.62","5.87","46748.00","1023.00","2.19","12.80","12.60"
"/catalog/karkasnye-doma/do-100m2/","2026-03-16 - 2026-06-14","97401.00","25559.00","26.24","4.54","3.75","13085.00","7627.00","58.29","27571.00","5509.00","19.98","2.35","2.23","53738.00","12046.00","22.42","6.08","5.93","3007.00","377.00","12.54","12.45","11.66"
"/","2026-03-16 - 2026-06-14","80140.00","11085.00","13.83","6.22","2.62","11593.00","5012.00","43.23","22448.00","3177.00","14.15","2.27","2.21","32534.00","2768.00","8.51","6.67","5.53","13565.00","128.00","0.94","16.13","13.45"
"/catalog/karkasnye-doma/100-150m2/","2026-03-16 - 2026-06-14","60528.00","17213.00","28.44","4.33","3.19","9146.00","5939.00","64.94","18696.00","4694.00","25.11","2.29","2.25","30237.00","6244.00","20.65","5.93","5.53","2449.00","336.00","13.72","12.45","11.78"
"/catalog/karkasnye-doma/odnoetazhnye/","2026-03-16 - 2026-06-14","54714.00","12210.00","22.32","4.77","2.22","9722.00","6285.00","64.65","14801.00","3696.00","24.97","2.36","2.21","26538.00","2123.00","8.00","6.24","5.33","3653.00","106.00","2.90","13.91","12.51"
"/catalog/karkasnye-doma/barnkhaus/","2026-03-16 - 2026-06-14","31099.00","850.00","2.73","7.57","2.91","663.00","371.00","55.96","3240.00","244.00","7.53","2.57","2.35","21440.00","221.00","1.03","7.06","5.59","5756.00","14.00","0.24","13.02","20.93"
"/calculator/","2026-03-16 - 2026-06-14","28342.00","2695.00","9.51","6.57","2.06","2991.00","1587.00","53.06","4447.00","710.00","15.97","2.37","2.17","17699.00","375.00","2.12","6.97","5.33","3205.00","23.00","0.72","15.43","18.87"
"/design/","2026-03-16 - 2026-06-14","22275.00","1875.00","8.42","6.36","1.79","2332.00","1034.00","44.34","4674.00","708.00","15.15","2.33","2.08","12078.00","125.00","1.03","6.70","5.93","3191.00","8.00","0.25","14.86","12.50"
"/catalog/karkasnye-doma/dvuhetazhnye/","2026-03-16 - 2026-06-14","21783.00","3585.00","16.46","4.94","2.43","2640.00","1504.00","56.97","7566.00","1357.00","17.94","2.38","2.16","10044.00","677.00","6.74","6.12","5.51","1533.00","47.00","3.07","16.68","11.81"
"/catalog/karkasnye-doma/s-terrasoj/","2026-03-16 - 2026-06-14","15312.00","2302.00","15.03","5.86","2.85","1390.00","819.00","58.92","3807.00","827.00","21.72","2.34","2.33","7690.00","610.00","7.93","6.46","5.34","2425.00","46.00","1.90","12.29","12.04"
